"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","pos2_person_id","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pos1_person_id","pos2_person_id","pos3_person_id","pos4_person_id","pos5_person_id","pos6_person_id","pos7_person_id","pos8_person_id","pos9_person_id","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number"
"FF","2017-09-30","95.7","-2.3581","5.9240","Aaron Judge",592450,608678,"strikeout","swinging_strike",,,,,"14","Aaron Judge strikes out swinging.  ","R","R","R","NYY","TOR","S","null","null",0,2,2017,"-0.7350","1.6774","1.0150","2.5730","null","543305.00","null",1,7,"Bot","null","null",,,431145,,"170930_192117","10.5318","-138.4377","-6.8732","-12.0431","34.6021","-9.2112","3.8271","1.6673","null","null","null","95.0250","2270","6.4850",492513,608678,431145,475253,446381,518626,572365,485567,606192,430832,"54.0129","0.000","0.000","0.00",1,0,0,"null",53,"3"
"FF","2017-09-30","96.3","-2.5577","5.9023","Aaron Judge",592450,608678,"null","called_strike",,,,,"9","null","R","R","R","NYY","TOR","S","null","null",0,1,2017,"-0.7434","1.4761","0.4546","2.3005","null","543305.00","null",1,7,"Bot","null","null",,,431145,,"170930_192050","9.6649","-139.7614","-7.3651","-11.7176","26.7988","-11.3563","3.9923","1.8663","null","null","null","96.8120","2252","6.3860",492513,608678,431145,475253,446381,518626,572365,485567,606192,430832,"54.1114","0.000","0.000","null","null","null","null","null",53,"2"
"FF","2017-09-30","95.2","-2.3861","5.8346","Aaron Judge",592450,608678,"null","called_strike",,,,,"2","null","R","R","R","NYY","TOR","S","null","null",0,0,2017,"-1.2191","1.6332","0.0957","3.4049","null","543305.00","null",1,7,"Bot","null","null",,,431145,,"170930_192030","9.2416","-138.0840","-4.3968","-17.6628","28.7817","-10.3700","4.0395","1.8899","null","null","null","95.4680","2291","6.4690",492513,608678,431145,475253,446381,518626,572365,485567,606192,430832,"54.0285","0.000","0.000","null","null","null","null","null",53,"1"
"FT","2017-09-30","93.4","4.2502","4.6506","Aaron Judge",592450,571901,"walk","ball",,,,,"14","Aaron Judge walks.   Aaron Hicks to 2nd.  ","R","R","L","NYY","TOR","B","null","null",3,1,2017,"1.7552","0.4911","1.5161","2.8389","null","null","543305.00",1,5,"Bot","null","null",,,431145,,"170930_183328","-10.6258","-135.1424","0.1093","23.4366","30.9796","-26.5796","4.0732","2.0215","null","null","null","91.8250","2175","5.7670",492513,571901,431145,475253,446381,518626,572365,485567,606192,430832,"54.7309","0.000","0.000","0.70",1,0,0,"null",36,"5"
"FT","2017-09-30","92.8","4.1144","4.4696","Aaron Judge",592450,571901,"null","called_strike",,,,,"14","null","R","R","L","NYY","TOR","S","null","null",3,0,2017,"1.4123","0.1889","0.0764","1.7631","null","null","543305.00",1,5,"Bot","null","null",,,431145,,"170930_183309","-13.1954","-134.2390","-1.4760","19.6908","28.6883","-29.8328","4.1575","2.0080","null","null","null","91.7900","2171","5.9750",492513,571901,431145,475253,446381,518626,572365,485567,606192,430832,"54.5228","0.000","0.000","null","null","null","null","null",36,"4"
"CH","2017-09-30","80.8","4.4560","4.2604","Aaron Judge",592450,571901,"null","ball",,,,,"14","null","R","R","L","NYY","TOR","B","null","null",2,0,2017,"1.4698","0.1292","2.1445","2.1822","null","null","543305.00",1,5,"Bot","null","null",,,431145,,"170930_183252","-7.8159","-117.0242","1.8601","14.8665","24.0434","-31.6427","4.0260","1.9034","null","null","null","79.7440","2044","6.0110",492513,571901,431145,475253,446381,518626,572365,485567,606192,430832,"54.4862","0.000","0.000","null","null","null","null","null",36,"3"
"FC","2017-09-30","85.1","4.4341","4.5876","Aaron Judge",592450,571901,"null","ball",,,,,"14","null","R","R","L","NYY","TOR","B","null","null",1,0,2017,"-0.0638","0.3945","1.4978","3.0111","null","null","543305.00",1,5,"Bot","null","null",,,431145,,"170930_183232","-6.7057","-123.5108","1.7831","0.5579","22.2312","-28.6913","4.0496","2.0451","null","null","null","84.7480","2519","5.9800",492513,571901,431145,475253,446381,518626,572365,485567,606192,430832,"54.5177","0.000","0.000","null","null","null","null","null",36,"2"
"FT","2017-09-30","93.3","4.3098","4.6001","Aaron Judge",592450,571901,"null","ball",,,,,"14","null","R","R","L","NYY","TOR","B","null","null",0,0,2017,"1.6573","0.3899","0.4016","1.4669","null","null","543305.00",1,5,"Bot","null","null",,,431145,,"170930_183214","-13.4454","-134.6875","-2.9539","23.0365","33.0146","-27.0675","4.0732","1.9271","null","null","null","91.6140","2133","6.0010",492513,571901,431145,475253,446381,518626,572365,485567,606192,430832,"54.4962","0.000","0.000","null","null","null","null","null",36,"1"
"FT","2017-09-30","93.1","-1.4675","5.3552","Aaron Judge",592450,573186,"home_run","hit_into_play_score",,,,,"4","Aaron Judge homers (52) on a fly ball to left center field.  ","R","R","R","NYY","TOR","X","null","fly_ball",2,0,2017,"-1.4279","0.3261","-0.4320","2.9955","null","null","null",0,4,"Bot","56.86","4.52",,,431145,,"170930_180303","5.7047","-135.4206","-1.0399","-18.6301","26.9148","-28.1807","3.8271","1.6673","484","118.3","25.7400","92.9920","2312","6.0400",492513,573186,431145,475253,446381,518626,572365,485567,606192,430832,"54.4579","0.983","1.951","2.00",1,0,3,6,23,"3"
"FT","2017-09-30","93.4","-2.4660","5.5115","Aaron Judge",592450,573186,"null","ball",,,,,"14","null","R","R","R","NYY","TOR","B","null","null",1,0,2017,"-1.2530","0.6559","0.8886","2.3187","null","null","null",0,4,"Bot","null","null",,,431145,,"170930_180238","11.1519","-135.2542","-3.8291","-17.3857","26.7110","-23.6907","3.8372","1.6673","null","null","null","92.4630","2238","5.7790",492513,573186,431145,475253,446381,518626,572365,485567,606192,430832,"54.7182","0.000","0.000","null","null","null","null","null",23,"2"
