"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","pos2_person_id","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pos1_person_id","pos2_person_id","pos3_person_id","pos4_person_id","pos5_person_id","pos6_person_id","pos7_person_id","pos8_person_id","pos9_person_id","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number"
"SL","2017-10-01","86.4","-1.0592","5.9057","Giancarlo Stanton",519317,527055,"strikeout","swinging_strike",,,,,"1","Giancarlo Stanton strikes out swinging.  ","R","R","R","MIA","ATL","S","null","null",0,2,2017,"0.6714","-0.5733","-0.5853","3.6770","null","null","null",0,9,"Bot","null","null",,,435559,,"171001_222828","-0.1966","-125.5290","2.0092","7.0035","24.9937","-38.7605","3.6340","1.6044","null","null","null","85.5180","2073","5.7620",492515,527055,435559,518692,645277,547004,621020,572669,542255,455976,"54.7356","0.000","0.000","0.00",1,0,0,"null",80,"4"
"FF","2017-10-01","98.1","-1.5517","5.7016","Giancarlo Stanton",519317,527055,"null","foul",,,,,"11","null","R","R","R","MIA","ATL","S","null","null",0,2,2017,"-0.8346","1.3235","-1.1995","4.1400","null","null","null",0,9,"Bot","null","null",,,435559,,"171001_222802","2.7665","-142.4839","-1.6678","-11.6879","32.6721","-14.5194","3.6340","1.6044","162","77.7","15.1550","96.6100","2103","5.5280",492515,527055,435559,518692,645277,547004,621020,572669,542255,455976,"54.9704","0.000","0.000","null","null","null","null",4,80,"3"
"FT","2017-10-01","97.0","-1.3408","5.6190","Giancarlo Stanton",519317,527055,"null","foul",,,,,"2","null","R","R","R","MIA","ATL","S","null","null",0,1,2017,"-1.1204","0.9500","0.1883","3.0137","null","null","null",0,9,"Bot","null","null",,,435559,,"171001_222737","6.4443","-140.3868","-3.5447","-16.1396","28.1633","-19.0723","3.6340","1.6044","null","null","null","96.7240","2331","6.1200",492515,527055,435559,518692,645277,547004,621020,572669,542255,455976,"54.3777","0.000","0.000","null","null","null","null","null",80,"2"
"FT","2017-10-01","98.0","-1.4515","5.8013","Giancarlo Stanton",519317,527055,"null","foul",,,,,"6","null","R","R","R","MIA","ATL","S","null","null",0,0,2017,"-1.1191","1.3636","0.6356","2.9634","null","null","null",0,9,"Bot","null","null",,,435559,,"171001_222717","8.0622","-142.0217","-5.1433","-16.7679","33.9233","-13.1112","3.6340","1.6044","231","79.0","47.8427","96.6870","2400","5.8560",492515,527055,435559,518692,645277,547004,621020,572669,542255,455976,"54.6421","0.000","0.000","null","null","null","null",3,80,"1"
"FT","2017-10-01","94.2","-0.9315","7.0124","Giancarlo Stanton",519317,462382,"field_out","hit_into_play",,,,,"14","Giancarlo Stanton grounds out, shortstop Dansby Swanson to first baseman Freddie Freeman.  ","R","R","R","MIA","ATL","X","6","ground_ball",3,2,2017,"-1.4153","1.2961","0.2602","1.2887","null","null","null",0,7,"Bot","111.45","155.87",,,435559,,"171001_214554","6.0743","-136.2608","-11.7296","-18.6664","30.9279","-13.9277","3.6340","1.6044","2","83.2","-33.2700","92.7950","2279","5.8510",492515,462382,435559,518692,645277,547004,621020,572669,542255,455976,"54.6464","0.048","0.045","0.00",1,0,0,2,64,"6"
"FT","2017-10-01","94.3","-1.2224","6.9903","Giancarlo Stanton",519317,462382,"null","ball",,,,,"13","null","R","R","R","MIA","ATL","B","null","null",2,2,2017,"-1.3406","1.1588","-2.0501","2.3384","null","null","null",0,7,"Bot","null","null",,,435559,,"171001_214535","0.7450","-136.6453","-8.7369","-16.6144","31.8304","-16.1803","3.6437","1.7401","null","null","null","92.9720","2249","5.8530",492515,462382,435559,518692,645277,547004,621020,572669,542255,455976,"54.6445","0.000","0.000","null","null","null","null","null",64,"5"
"FT","2017-10-01","93.5","-1.0912","6.9490","Giancarlo Stanton",519317,462382,"null","ball",,,,,"13","null","R","R","R","MIA","ATL","B","null","null",1,2,2017,"-1.3028","1.1788","-1.6339","0.9872","null","null","null",0,7,"Bot","null","null",,,435559,,"171001_214521","1.3846","-135.2991","-11.9215","-16.0004","30.4556","-15.5433","3.5661","1.7304","null","null","null","92.1340","2219","5.8450",492515,462382,435559,518692,645277,547004,621020,572669,542255,455976,"54.6527","0.000","0.000","null","null","null","null","null",64,"4"
"FT","2017-10-01","93.8","-1.2618","7.0404","Giancarlo Stanton",519317,462382,"null","swinging_strike",,,,,"13","null","R","R","R","MIA","ATL","S","null","null",1,1,2017,"-1.2386","1.3938","-1.3947","2.0790","null","null","null",0,7,"Bot","null","null",,,435559,,"171001_214507","2.2975","-135.8599","-9.8999","-15.5306","31.8713","-13.2389","3.6340","1.6044","null","null","null","92.3570","2212","5.8370",492515,462382,435559,518692,645277,547004,621020,572669,542255,455976,"54.6613","0.000","0.000","null","null","null","null","null",64,"3"
"FT","2017-10-01","92.7","-0.8150","7.1380","Giancarlo Stanton",519317,462382,"null","called_strike",,,,,"9","null","R","R","R","MIA","ATL","S","null","null",1,0,2017,"-1.1601","1.4399","0.7611","1.8456","null","null","null",0,7,"Bot","null","null",,,435559,,"171001_214455","6.3954","-134.0666","-10.5675","-15.1141","29.3064","-13.0837","3.6630","1.7207","null","null","null","91.2990","2184","5.8000",492515,462382,435559,518692,645277,547004,621020,572669,542255,455976,"54.6978","0.000","0.000","null","null","null","null","null",64,"2"
"FT","2017-10-01","92.3","-1.1738","7.0873","Giancarlo Stanton",519317,462382,"null","ball",,,,,"13","null","R","R","R","MIA","ATL","B","null","null",0,0,2017,"-1.1193","1.2728","-1.0900","1.8315","null","null","null",0,7,"Bot","null","null",,,435559,,"171001_214444","2.5332","-133.7331","-10.0228","-13.6538","29.9703","-15.3052","3.7502","1.7207","null","null","null","90.7690","2183","5.6770",492515,462382,435559,518692,645277,547004,621020,572669,542255,455976,"54.8207","0.000","0.000","null","null","null","null","null",64,"1"
"CU","2017-10-01","76.9","1.2077","6.0173","Giancarlo Stanton",519317,608331,"single","hit_into_play_score",,,,,"14","Giancarlo Stanton singles on a ground ball to center fielder Lane Adams.   Tyler Moore scores.    Dee Gordon to 3rd.  ","R","R","L","MIA","ATL","X","null","ground_ball",1,2,2017,"-0.9587","-1.5549","0.9293","2.0162","489138.00","null","543829.00",0,5,"Bot","106.00","70.46",,,435559,,"171001_204605","1.0780","-111.7199","1.3152","-7.9674","23.0222","-45.2949","3.6340","1.6044","131","100.5","4.7360","75.4170","2711","5.6180",492515,608331,435559,518692,645277,547004,621020,607054,572669,455976,"54.8794","0.597","0.561","0.90",1,1,0,4,43,"5"
"FF","2017-10-01","96.0","0.9309","6.0261","Giancarlo Stanton",519317,608331,"null","foul",,,,,"14","null","R","R","L","MIA","ATL","S","null","null",1,2,2017,"0.2164","1.0714","0.8574","2.1188","489138.00","null","543829.00",0,5,"Bot","null","null",,,435559,,"171001_204511","-0.6930","-139.6672","-7.3007","3.0295","28.1152","-16.5690","3.6340","1.6044","null","null","null","97.1430","2025","6.7040",492515,608331,435559,518692,645277,547004,621020,607054,572669,455976,"53.7935","0.000","0.000","null","null","null","null","null",43,"4"
