"listing_id","price","nbhood_full"
2595,"225 dollars","Manhattan, Midtown"
3831,"89 dollars","Brooklyn, Clinton Hill"
5099,"200 dollars","Manhattan, Murray Hill"
5178,"79 dollars","Manhattan, Hell's Kitchen"
5238,"150 dollars","Manhattan, Chinatown"
5295,"135 dollars","Manhattan, Upper West Side"
5441,"85 dollars","Manhattan, Hell's Kitchen"
5803,"89 dollars","Brooklyn, South Slope"
6021,"85 dollars","Manhattan, Upper West Side"
6848,"140 dollars","Brooklyn, Williamsburg"
7097,"215 dollars","Brooklyn, Fort Greene"
7322,"140 dollars","Manhattan, Chelsea"
7726,"99 dollars","Brooklyn, Crown Heights"
8024,"130 dollars","Brooklyn, Park Slope"
8025,"80 dollars","Brooklyn, Park Slope"
8110,"110 dollars","Brooklyn, Park Slope"
8490,"120 dollars","Brooklyn, Bedford-Stuyvesant"
8505,"60 dollars","Brooklyn, Windsor Terrace"
9518,"44 dollars","Manhattan, Inwood"
9657,"180 dollars","Manhattan, East Village"
9668,"50 dollars","Manhattan, Harlem"
9704,"52 dollars","Manhattan, Harlem"
9782,"55 dollars","Brooklyn, Greenpoint"
9783,"50 dollars","Manhattan, Harlem"
10452,"70 dollars","Brooklyn, Bedford-Stuyvesant"
10962,"89 dollars","Brooklyn, South Slope"
11708,"85 dollars","Brooklyn, Bushwick"
12048,"40 dollars","Manhattan, Lower East Side"
12192,"68 dollars","Manhattan, East Village"
12299,"120 dollars","Brooklyn, South Slope"
12318,"135 dollars","Manhattan, Upper West Side"
12343,"150 dollars","Manhattan, Harlem"
12627,"150 dollars","Brooklyn, Prospect-Lefferts Gardens"
12937,"130 dollars","Queens, Long Island City"
12940,"110 dollars","Brooklyn, Bedford-Stuyvesant"
13394,"80 dollars","Brooklyn, Fort Greene"
13808,"80 dollars","Brooklyn, Bedford-Stuyvesant"
14287,"151 dollars","Manhattan, Upper West Side"
14290,"228 dollars","Brooklyn, Williamsburg"
14314,"144 dollars","Brooklyn, Greenpoint"
14322,"200 dollars","Manhattan, Kips Bay"
14377,"150 dollars","Brooklyn, Williamsburg"
14991,"110 dollars","Manhattan, Lower East Side"
15220,"69 dollars","Manhattan, Hell's Kitchen"
15338,"49 dollars","Brooklyn, Greenpoint"
15341,"180 dollars","Manhattan, SoHo"
15385,"80 dollars","Brooklyn, Williamsburg"
15711,"250 dollars","Manhattan, Upper East Side"
16326,"200 dollars","Brooklyn, Prospect Heights"
16421,"52 dollars","Manhattan, Hell's Kitchen"
16580,"80 dollars","Manhattan, East Village"
16595,"275 dollars","Brooklyn, Williamsburg"
16821,"99 dollars","Manhattan, East Village"
16974,"225 dollars","Manhattan, East Harlem"
17092,"51 dollars","Manhattan, Hell's Kitchen"
17693,"65 dollars","Manhattan, Washington Heights"
17747,"105 dollars","Brooklyn, Clinton Hill"
18127,"190 dollars","Manhattan, East Village"
18152,"200 dollars","Manhattan, Upper East Side"
18198,"70 dollars","Queens, Woodside"
18590,"95 dollars","Brooklyn, Fort Greene"
18728,"150 dollars","Manhattan, Chelsea"
18764,"145 dollars","Brooklyn, Williamsburg"
19159,"110 dollars","Manhattan, Harlem"
19169,"285 dollars","Manhattan, Lower East Side"
19282,"130 dollars","Brooklyn, Flatbush"
19319,"94 dollars","Manhattan, Lower East Side"
20299,"60 dollars","Manhattan, East Village"
20611,"85 dollars","Brooklyn, Williamsburg"
20724,"65 dollars","Brooklyn, Bushwick"
20734,"131 dollars","Brooklyn, Prospect Heights"
20755,"98 dollars","Brooklyn, Clinton Hill"
20853,"250 dollars","Brooklyn, Prospect Heights"
21293,"105 dollars","Brooklyn, Bushwick"
21456,"140 dollars","Manhattan, Upper West Side"
21794,"98 dollars","Manhattan, Chelsea"
22918,"60 dollars","Manhattan, Harlem"
23135,"175 dollars","Brooklyn, Carroll Gardens"
23686,"500 dollars","Manhattan, West Village"
24143,"101 dollars","Brooklyn, Williamsburg"
25235,"125 dollars","Brooklyn, Bedford-Stuyvesant"
25696,"100 dollars","Manhattan, Harlem"
26362,"59 dollars","Manhattan, Hell's Kitchen"
26520,"125 dollars","Brooklyn, Clinton Hill"
26969,"325 dollars","Brooklyn, Williamsburg"
27006,"235 dollars","Manhattan, Upper West Side"
27385,"225 dollars","Manhattan, East Village"
27531,"99 dollars","Brooklyn, South Slope"
27644,"170 dollars","Manhattan, Harlem"
27759,"170 dollars","Manhattan, Upper West Side"
29013,"70 dollars","Brooklyn, Bedford-Stuyvesant"
29455,"120 dollars","Manhattan, Harlem"
29628,"89 dollars","Brooklyn, Clinton Hill"
29683,"185 dollars","Manhattan, East Village"
30031,"50 dollars","Brooklyn, Greenpoint"
30927,"105 dollars","Manhattan, Lower East Side"
31130,"130 dollars","Manhattan, Hell's Kitchen"
31555,"115 dollars","Manhattan, West Village"
31902,"77 dollars","Brooklyn, Flatlands"
31994,"76 dollars","Brooklyn, Clinton Hill"
32023,"125 dollars","Brooklyn, Bedford-Stuyvesant"
32037,"135 dollars","Brooklyn, Clinton Hill"
32965,"115 dollars","Brooklyn, Bedford-Stuyvesant"
32969,"160 dollars","Brooklyn, Williamsburg"
33009,"195 dollars","Brooklyn, Williamsburg"
33014,"195 dollars","Manhattan, East Village"
33223,"80 dollars","Brooklyn, Williamsburg"
34760,"44 dollars","Brooklyn, Fort Greene"
35526,"156 dollars","Manhattan, West Village"
36133,"125 dollars","Brooklyn, Williamsburg"
36703,"225 dollars","Manhattan, West Village"
38638,"219 dollars","Manhattan, Upper East Side"
39267,"99 dollars","Manhattan, Upper East Side"
39282,"69 dollars","Brooklyn, Williamsburg"
