state|million_miles_annually
Alabama|64914
Alaska|4593
Arizona|59575
Arkansas|32953
California|320784
Colorado|46606
Connecticut|31197
Delaware|9028
District of Columbia|3568
Florida|191855
Georgia|108454
Hawaii|10066
Idaho|15937
Illinois|103234
Indiana|76485
Iowa|31274
Kansas|30021
Kentucky|48061
Louisiana|46513
Maine|14248
Maryland|56221
Massachusetts|54792
Michigan|94754
Minnesota|56685
Mississippi|38851
Missouri|68789
Montana|11660
Nebraska|19093
Nevada|24189
New Hampshire|12720
New Jersey|73094
New Mexico|25650
New York|127726
North Carolina|103772
North Dakota|9131
Ohio|111990
Oklahoma|47464
Oregon|33373
Pennsylvania|99204
Rhode Island|7901
South Carolina|48730
South Dakota|9002
Tennessee|70751
Texas|237440
Utah|26222
Vermont|7141
Virginia|80974
Washington|56955
West Virginia|18963
Wisconsin|58554
Wyoming|9245
