##### LICENSE #####
# This data set is modified from the original at fivethirtyeight (https://github.com/fivethirtyeight/data/tree/master/bad-drivers)
# and it is released under CC BY 4.0 (https://creativecommons.org/licenses/by/4.0/)
##### COLUMN ABBREVIATIONS #####
# drvr_fatl_col_bmiles = Number of drivers involved in fatal collisions per billion miles (2011)
# perc_fatl_speed = Percentage Of Drivers Involved In Fatal Collisions Who Were Speeding (2009)
# perc_fatl_alcohol = Percentage Of Drivers Involved In Fatal Collisions Who Were Alcohol-Impaired (2011)
# perc_fatl_1st_time = Percentage Of Drivers Involved In Fatal Collisions Who Had Not Been Involved In Any Previous Accidents (2011)
##### DATA BEGIN #####
state|drvr_fatl_col_bmiles|perc_fatl_speed|perc_fatl_alcohol|perc_fatl_1st_time
Alabama|18.8|39|30|80
Alaska|18.1|41|25|94
Arizona|18.6|35|28|96
Arkansas|22.4|18|26|95
California|12|35|28|89
Colorado|13.6|37|28|95
Connecticut|10.8|46|36|82
Delaware|16.2|38|30|99
District of Columbia|5.9|34|27|100
Florida|17.9|21|29|94
Georgia|15.6|19|25|93
Hawaii|17.5|54|41|87
Idaho|15.3|36|29|98
Illinois|12.8|36|34|96
Indiana|14.5|25|29|95
Iowa|15.7|17|25|87
Kansas|17.8|27|24|85
Kentucky|21.4|19|23|76
Louisiana|20.5|35|33|98
Maine|15.1|38|30|84
Maryland|12.5|34|32|99
Massachusetts|8.2|23|35|80
Michigan|14.1|24|28|77
Minnesota|9.6|23|29|88
Mississippi|17.6|15|31|100
Missouri|16.1|43|34|84
Montana|21.4|39|44|85
Nebraska|14.9|13|35|90
Nevada|14.7|37|32|99
New Hampshire|11.6|35|30|83
New Jersey|11.2|16|28|78
New Mexico|18.4|19|27|98
New York|12.3|32|29|80
North Carolina|16.8|39|31|81
North Dakota|23.9|23|42|86
Ohio|14.1|28|34|82
Oklahoma|19.9|32|29|94
Oregon|12.8|33|26|90
Pennsylvania|18.2|50|31|88
Rhode Island|11.1|34|38|79
South Carolina|23.9|38|41|81
South Dakota|19.4|31|33|86
Tennessee|19.5|21|29|81
Texas|19.4|40|38|87
Utah|11.3|43|16|96
Vermont|13.6|30|30|95
Virginia|12.7|19|27|88
Washington|10.6|42|33|86
West Virginia|23.8|34|28|87
Wisconsin|13.8|36|33|84
Wyoming|17.4|42|32|90
