super_bowl,network,avg_us_viewers,total_us_viewers,rating_household,share_household,rating_18_49,share_18_49,ad_cost
52,NBC,103390000,,43.1,68,33.4,78,5000000
51,Fox,111319000,172000000,45.3,73,37.1,79,5000000
50,CBS,111864000,167000000,46.6,72,37.7,79,5000000
49,NBC,114442000,168000000,47.5,71,39.1,79,4500000
48,Fox,112191000,167000000,46.7,69,39.3,77,4000000
47,CBS,108693000,164100000,46.3,69,39.7,77,4000000
46,NBC,111346000,163500000,47,71,40.5,,3500000
45,Fox,111041000,162900000,46,69,39.9,,3100000
44,CBS,106476000,153400000,45,68,38.6,,2800000
43,NBC,98732000,151600000,42,64,36.7,,3000000
42,Fox,97448000,148300000,43.1,65,37.5,,2699963
41,CBS,93184000,139800000,42.6,64,35.2,,2385365
40,ABC,90745000,141400000,41.6,62,,,2500000
39,Fox,86072000,,41.1,62,,,2400000
38,CBS,89795000,144400000,41.4,63,,,2302200
37,ABC,88637000,138500000,40.7,61,,,2200000
36,Fox,86801000,,40.4,61,,,2200000
35,CBS,84335000,,40.4,61,,,2200000
34,ABC,88465000,,43.3,63,37.9,,2100000
33,Fox,83720000,,40.2,61,36.4,,1600000
32,NBC,90000000,,44.5,67,,,1291100
31,Fox,87870000,,43.3,65,,,1200000
30,NBC,94080000,,46,68,41.2,,1085000
29,ABC,83420000,,41.3,62,,,1150000
28,NBC,90000000,,45.5,66,,,900000
27,NBC,90990000,,45.1,66,,,850000
26,CBS,79590000,,40.3,61,,,850000
25,ABC,79510000,,41.9,63,,,800000
24,CBS,73852000,,39,67,,,700400
23,NBC,81590000,,43.5,68,,,675000
22,ABC,80140000,,41.9,62,,,645000
21,CBS,87190000,,45.8,66,,,600000
20,NBC,92570000,,48.3,70,,,550000
19,ABC,85530000,,46.4,63,,,525000
18,CBS,77620000,,46.4,71,,,368200
17,NBC,81770000,,48.6,69,,,400000
16,CBS,85240000,,49.1,73,,,324300
15,NBC,68290000,,44.4,63,,,275000
14,CBS,76240000,,46.3,67,,,222000
13,NBC,74740000,,47.1,74,,,185000
12,CBS,78940000,,47.2,67,,,162300
11,NBC,62050000,,44.4,73,,,125000
10,CBS,57710000,,42.3,78,,,110000
9,NBC,56050000,,42.4,72,,,107000
8,CBS,51700000,,41.6,73,,,103500
7,NBC,53320000,,42.7,72,,,88100
6,CBS,56640000,,44.2,74,,,86100
5,NBC,46040000,,39.9,75,,,72500
4,CBS,44270000,,39.4,69,,,78200
3,NBC,41660000,,36,70,,,55000
2,CBS,39120000,,36.8,68,,,54500
1,CBS,26750000,51180000,22.6,43,,,42500
1,NBC,24430000,,18.5,36,,,37500
