id,expected_recovery_amount,actual_recovery_amount,recovery_strategy,age,sex
2030,194,263.54,Level 0 Recovery,19,Male
1150,486,416.09,Level 0 Recovery,25,Female
380,527,429.35,Level 0 Recovery,27,Male
1838,536,296.99,Level 0 Recovery,25,Male
1995,541,346.385,Level 0 Recovery,34,Male
731,548,520.71,Level 0 Recovery,35,Male
221,549,221.585,Level 0 Recovery,33,Male
1932,560,373.72,Level 0 Recovery,19,Female
1828,562,201.865,Level 0 Recovery,22,Female
2001,565,504.885,Level 0 Recovery,27,Male
723,573,363.61,Level 0 Recovery,27,Female
1913,582,201.815,Level 0 Recovery,31,Male
286,587,400.365,Level 0 Recovery,18,Male
685,602,262.445,Level 0 Recovery,31,Male
251,604,240.815,Level 0 Recovery,33,Male
1769,604,278.72,Level 0 Recovery,32,Female
1816,605,444.455,Level 0 Recovery,22,Female
583,606,200.425,Level 0 Recovery,26,Male
770,608,315.435,Level 0 Recovery,23,Male
1849,613,245,Level 0 Recovery,29,Female
1850,613,377.105,Level 0 Recovery,28,Female
1532,615,420.735,Level 0 Recovery,33,Female
565,621,249.1,Level 0 Recovery,34,Female
1355,629,366.45,Level 0 Recovery,31,Female
855,632,426.21,Level 0 Recovery,28,Female
932,643,399.14,Level 0 Recovery,32,Male
1479,643,480.125,Level 0 Recovery,23,Male
492,648,225.165,Level 0 Recovery,21,Male
2022,656,467.945,Level 0 Recovery,24,Male
1990,658,515.785,Level 0 Recovery,23,Male
1533,662,936.06,Level 0 Recovery,21,Male
1554,664,398.59,Level 0 Recovery,35,Female
480,670,228.985,Level 0 Recovery,32,Male
475,672,282.62,Level 0 Recovery,34,Female
1904,672,270.585,Level 0 Recovery,18,Female
1241,678,292.25,Level 0 Recovery,32,Female
294,681,362.06,Level 0 Recovery,23,Female
1390,684,333.21,Level 0 Recovery,25,Male
712,686,491.635,Level 0 Recovery,24,Female
957,692,508.27,Level 0 Recovery,26,Male
144,698,253.61,Level 0 Recovery,28,Male
949,699,557.9,Level 0 Recovery,27,Male
1022,699,384.575,Level 0 Recovery,18,Female
1861,702,407.2,Level 0 Recovery,31,Male
1981,703,414.065,Level 0 Recovery,31,Male
1280,704,627.44,Level 0 Recovery,18,Female
2019,704,262.105,Level 0 Recovery,29,Female
1342,707,326.93,Level 0 Recovery,19,Male
283,715,370.925,Level 0 Recovery,26,Male
532,718,539.65,Level 0 Recovery,28,Male
1921,719,325.875,Level 0 Recovery,26,Female
543,720,851.62,Level 0 Recovery,22,Male
1053,720,523.81,Level 0 Recovery,22,Female
1503,723,567.765,Level 0 Recovery,25,Female
297,724,315.66,Level 0 Recovery,26,Female
1969,726,253.585,Level 0 Recovery,25,Male
1746,727,282.21,Level 0 Recovery,20,Female
241,728,589.55,Level 0 Recovery,29,Female
1144,731,617.675,Level 0 Recovery,24,Male
1700,733,697.415,Level 0 Recovery,36,Female
2008,736,691.405,Level 0 Recovery,28,Female
1238,741,251.65,Level 0 Recovery,27,Female
1339,742,464.33,Level 0 Recovery,32,Female
1754,748,329.78,Level 0 Recovery,26,Female
1470,749,858.36,Level 0 Recovery,26,Male
227,751,287.125,Level 0 Recovery,33,Female
1705,752,369.4,Level 0 Recovery,25,Male
1986,752,677.825,Level 0 Recovery,20,Male
797,754,529.615,Level 0 Recovery,33,Female
1151,754,601.03,Level 0 Recovery,27,Female
1947,755,318.74,Level 0 Recovery,25,Female
1498,756,574,Level 0 Recovery,18,Male
2013,767,516.22,Level 0 Recovery,24,Female
1938,769,299.71,Level 0 Recovery,33,Female
1397,770,540.165,Level 0 Recovery,35,Male
1389,771,744.75,Level 0 Recovery,24,Male
1894,771,603.47,Level 0 Recovery,35,Male
54,772,482.88,Level 0 Recovery,20,Male
60,772,532.735,Level 0 Recovery,31,Male
488,772,465.665,Level 0 Recovery,18,Male
1648,772,415.4,Level 0 Recovery,31,Female
223,773,314.795,Level 0 Recovery,33,Female
872,773,413.54,Level 0 Recovery,18,Male
1039,773,487.32,Level 0 Recovery,19,Male
1742,774,395.205,Level 0 Recovery,24,Female
1337,775,610.23,Level 0 Recovery,31,Female
1209,776,313.945,Level 0 Recovery,30,Female
1048,777,424.015,Level 0 Recovery,31,Male
1346,777,622.5,Level 0 Recovery,21,Male
1862,782,1069.185,Level 0 Recovery,24,Male
1444,783,533.645,Level 0 Recovery,23,Male
1561,785,576.69,Level 0 Recovery,35,Female
253,786,302.56,Level 0 Recovery,22,Male
1491,791,319.365,Level 0 Recovery,22,Male
1590,791,552.34,Level 0 Recovery,35,Female
474,793,204.535,Level 0 Recovery,27,Male
873,793,584.47,Level 0 Recovery,34,Female
915,794,271.615,Level 0 Recovery,29,Female
495,796,537.215,Level 0 Recovery,31,Female
1628,797,847.94,Level 0 Recovery,28,Male
1755,798,510.275,Level 0 Recovery,28,Female
12,800,370.51,Level 0 Recovery,26,Male
305,804,454.61,Level 0 Recovery,33,Female
743,805,508.005,Level 0 Recovery,30,Male
1341,807,313.485,Level 0 Recovery,39,Male
530,808,452.845,Level 0 Recovery,33,Female
473,810,325.42,Level 0 Recovery,24,Male
1423,811,515.64,Level 0 Recovery,35,Female
1786,818,529.01,Level 0 Recovery,26,Female
1249,820,491.705,Level 0 Recovery,33,Female
1994,820,342.965,Level 0 Recovery,45,Male
1706,822,592.635,Level 0 Recovery,26,Female
195,823,718.3,Level 0 Recovery,30,Female
1630,823,636.24,Level 0 Recovery,29,Male
1536,826,298.845,Level 0 Recovery,25,Female
1343,827,402.605,Level 0 Recovery,18,Male
1641,828,463.59,Level 0 Recovery,32,Male
1934,828,344.365,Level 0 Recovery,30,Female
1847,831,309.255,Level 0 Recovery,27,Male
1502,840,758.41,Level 0 Recovery,28,Female
1537,844,666.28,Level 0 Recovery,26,Female
1214,845,377.975,Level 0 Recovery,31,Male
696,846,257.695,Level 0 Recovery,29,Female
25,848,358.595,Level 0 Recovery,25,Male
1809,848,495.58,Level 0 Recovery,29,Female
1254,851,428.795,Level 0 Recovery,20,Male
394,852,376.935,Level 0 Recovery,30,Male
1620,852,432.855,Level 0 Recovery,30,Female
933,857,647.46,Level 0 Recovery,22,Male
1780,864,449.48,Level 0 Recovery,42,Male
109,865,506.635,Level 0 Recovery,44,Male
598,869,429.275,Level 0 Recovery,42,Female
1477,869,1300.79,Level 0 Recovery,21,Female
1866,869,359.945,Level 0 Recovery,35,Male
899,870,293.065,Level 0 Recovery,34,Male
1930,870,314.39,Level 0 Recovery,31,Female
178,871,656.47,Level 0 Recovery,22,Male
1101,873,533.875,Level 0 Recovery,34,Male
1227,873,551.925,Level 0 Recovery,35,Male
508,877,476.415,Level 0 Recovery,36,Male
1763,877,411.84,Level 0 Recovery,25,Female
1475,879,646.93,Level 0 Recovery,32,Female
879,880,724.42,Level 0 Recovery,30,Female
884,881,594.9,Level 0 Recovery,28,Male
1694,881,450.56,Level 0 Recovery,33,Male
1556,882,346.51,Level 0 Recovery,25,Male
300,886,613.32,Level 0 Recovery,28,Female
1465,886,1051.69,Level 0 Recovery,18,Male
1776,887,506.235,Level 0 Recovery,25,Male
279,889,546.165,Level 0 Recovery,25,Male
893,891,487.25,Level 0 Recovery,24,Female
1604,892,572.33,Level 0 Recovery,26,Female
1740,892,610.09,Level 0 Recovery,28,Female
1933,892,694.955,Level 0 Recovery,26,Female
1966,894,744.515,Level 0 Recovery,40,Female
200,897,454.66,Level 0 Recovery,29,Female
1817,897,472.36,Level 0 Recovery,20,Male
9,899,398.145,Level 0 Recovery,41,Male
520,900,504.79,Level 0 Recovery,34,Male
1036,900,539.535,Level 0 Recovery,34,Female
1383,900,554.745,Level 0 Recovery,24,Male
998,901,887.005,Level 0 Recovery,32,Male
1351,903,667.035,Level 0 Recovery,28,Male
2028,905,586.96,Level 0 Recovery,35,Female
1943,906,874.56,Level 0 Recovery,29,Male
559,907,317.335,Level 0 Recovery,21,Male
1675,908,625.55,Level 0 Recovery,26,Male
1297,911,520.775,Level 0 Recovery,18,Male
1157,912,773.65,Level 0 Recovery,29,Female
1685,913,756.855,Level 0 Recovery,27,Male
1951,914,556.53,Level 0 Recovery,23,Male
806,917,793.73,Level 0 Recovery,26,Male
954,918,575.435,Level 0 Recovery,30,Male
963,918,645.595,Level 0 Recovery,35,Male
1976,918,307.525,Level 0 Recovery,24,Male
1052,919,541.475,Level 0 Recovery,31,Male
1364,919,544.04,Level 0 Recovery,23,Male
1257,920,500.23,Level 0 Recovery,27,Male
877,926,615.935,Level 0 Recovery,32,Male
1033,931,801.885,Level 0 Recovery,31,Male
468,932,325.535,Level 0 Recovery,19,Female
1508,932,409.77,Level 0 Recovery,30,Male
248,937,494.495,Level 0 Recovery,23,Female
1550,938,964.39,Level 0 Recovery,34,Male
1744,938,754.71,Level 0 Recovery,26,Female
1403,940,806.94,Level 0 Recovery,22,Male
930,941,792.37,Level 0 Recovery,20,Female
926,943,770.28,Level 0 Recovery,35,Male
562,945,333.605,Level 0 Recovery,40,Female
1223,947,714.655,Level 0 Recovery,31,Male
1405,947,870.02,Level 0 Recovery,21,Male
690,948,282.855,Level 0 Recovery,28,Female
1619,950,883.79,Level 0 Recovery,21,Female
1898,950,534.91,Level 0 Recovery,24,Male
212,951,543.78,Level 0 Recovery,33,Female
1329,951,537.985,Level 0 Recovery,20,Male
1751,951,589.435,Level 0 Recovery,21,Male
560,952,581.51,Level 0 Recovery,23,Male
604,952,305.275,Level 0 Recovery,27,Female
1806,953,438.145,Level 0 Recovery,35,Male
123,960,737.665,Level 0 Recovery,18,Male
1108,961,660.175,Level 0 Recovery,56,Male
278,962,629.47,Level 0 Recovery,21,Female
1993,963,508.18,Level 0 Recovery,24,Male
1677,966,705.725,Level 0 Recovery,44,Male
1821,966,363.01,Level 0 Recovery,24,Male
1819,967,490.44,Level 0 Recovery,18,Female
1848,967,535.235,Level 0 Recovery,34,Female
1949,968,1029.545,Level 0 Recovery,33,Female
500,969,609.685,Level 0 Recovery,30,Male
1916,970,719.84,Level 0 Recovery,19,Male
856,971,492.32,Level 0 Recovery,25,Female
84,972,507.325,Level 0 Recovery,23,Female
901,973,474.53,Level 0 Recovery,25,Male
1549,975,656.5,Level 0 Recovery,23,Female
1756,975,834.605,Level 0 Recovery,31,Male
1365,977,663.145,Level 0 Recovery,28,Male
1696,977,724.675,Level 0 Recovery,25,Male
1988,977,389.59,Level 0 Recovery,18,Male
403,979,762.995,Level 0 Recovery,25,Male
610,980,377.67,Level 0 Recovery,30,Male
2033,980,856.695,Level 0 Recovery,33,Male
2045,980,1214.57,Level 0 Recovery,29,Female
21,981,341.58,Level 0 Recovery,28,Male
1394,982,596.915,Level 0 Recovery,22,Male
874,983,923.3,Level 0 Recovery,24,Female
1204,983,422.235,Level 0 Recovery,33,Male
1051,985,410.34,Level 0 Recovery,20,Male
1164,986,1176.465,Level 0 Recovery,29,Female
1452,986,938.075,Level 0 Recovery,19,Female
254,987,477.985,Level 0 Recovery,31,Male
557,987,381.19,Level 0 Recovery,18,Female
1386,988,462.7,Level 0 Recovery,26,Male
1899,988,508.93,Level 0 Recovery,26,Female
1980,988,428.85,Level 0 Recovery,25,Female
2023,988,704.445,Level 0 Recovery,18,Male
