year,month,day,hour,location,gender,Res1,Res2
2017,12,17,1,Ames PD,M,0.046,0.046
2017,12,14,3,ISU PD,F,0.12100000000000001,0.12000000000000001
2017,12,10,5,ISU PD,F,0.068,0.067
2017,12,10,3,ISU PD,F,0.07700000000000001,0.07700000000000001
2017,12,9,2,ISU PD,M,0.085,0.084
2017,12,9,1,Ames PD,M,0.16,0.161
2017,12,7,3,Ames PD,M,0.131,0.131
2017,12,4,1,ISU PD,M,0,0
2017,12,3,1,Ames PD,M,0.091,0.09
2017,12,3,0,Ames PD,M,0.095,0.095
2017,12,2,1,Ames PD,M,0.15500000000000003,0.15500000000000003
2017,11,29,3,ISU PD,F,0.171,0.171
2017,11,21,3,ISU PD,F,0.05,0.051000000000000004
2017,11,17,18,ISU PD,M,0.17600000000000002,0.17600000000000002
2017,11,11,3,Ames PD,M,0.07200000000000001,0.07200000000000001
2017,11,11,2,ISU PD,M,0.094,0.093
2017,11,11,2,ISU PD,F,0.10600000000000001,0.10600000000000001
2017,11,10,3,ISU PD,M,0.14500000000000002,0.14400000000000002
2017,11,9,2,Ames PD,F,0.14800000000000002,0.14800000000000002
2017,11,8,3,ISU PD,F,0.11,0.11
2017,11,6,19,Ames PD,F,0,0
2017,11,5,2,ISU PD,M,0.15500000000000003,0.15500000000000003
2017,11,5,0,Ames PD,M,0.114,0.113
2017,11,4,3,Ames PD,M,0.10700000000000001,0.10700000000000001
2017,11,3,3,ISU PD,M,0,0
2017,11,2,2,Ames PD,M,0,0
2017,10,29,5,Ames PD,F,0.164,0.164
2017,10,29,4,ISU PD,M,0.101,0.101
2017,10,29,4,Ames PD,M,0.116,0.116
2017,10,29,3,ISU PD,F,0.1,0.09899999999999999
2017,10,28,19,Ames PD,M,0.119,0.12000000000000001
2017,10,28,3,ISU PD,M,0.164,0.163
2017,10,28,2,Ames PD,M,0.10300000000000001,0.10300000000000001
2017,10,28,2,Ames PD,F,0,0
2017,10,28,2,ISU PD,M,0.134,0.134
2017,10,27,21,Ames PD,M,0.025,0.025
2017,10,26,3,Ames PD,M,0.136,0.136
2017,10,24,18,Ames PD,M,0.10700000000000001,0.10600000000000001
2017,10,24,15,Ames PD,M,0,0
2017,10,22,4,ISU PD,F,0.15600000000000003,0.15500000000000003
2017,10,22,2,ISU PD,M,0.14,0.139
2017,10,21,2,ISU PD,M,0,0
2017,10,21,2,ISU PD,M,0.17700000000000002,0.17700000000000002
2017,10,20,5,ISU PD,NA,0.053000000000000005,0.053000000000000005
2017,10,20,2,ISU PD,F,0.136,0.135
2017,10,17,4,ISU PD,M,0.003,0.003
2017,10,16,1,ISU PD,M,0,0
2017,10,15,3,Ames PD,M,0.14400000000000002,0.14300000000000002
2017,10,15,2,Ames PD,M,0.138,0.137
2017,10,13,3,ISU PD,M,0.138,0.138
2017,10,12,12,Ames PD,M,0.169,0.168
2017,10,12,2,ISU PD,F,0.093,0.092
2017,10,12,1,Ames PD,M,0.17500000000000002,0.17500000000000002
2017,10,11,2,ISU PD,M,0.07400000000000001,0.07200000000000001
2017,10,10,22,Ames PD,M,0.111,0.111
2017,10,8,10,Ames PD,M,0.041,0.04
2017,10,8,2,ISU PD,M,0.16,0.15900000000000003
2017,10,7,21,Ames PD,M,0.15200000000000002,0.15200000000000002
2017,10,7,2,Ames PD,M,0.119,0.12000000000000001
